iter	Passed	Remaining
432	2561	396
433	2566	390
434	2571	384
435	2577	378
436	2582	372
437	2588	366
438	2593	360
439	2599	354
440	2604	348
441	2610	342
442	2615	336
443	2621	330
444	2626	324
445	2632	318
446	2637	312
447	2643	306
448	2648	300
449	2653	294
450	2660	289
451	2667	283
452	2675	277
453	2683	271
454	2687	265
455	2695	260
456	2701	254
457	2706	248
458	2712	242
459	2718	236
460	2724	230
461	2730	224
462	2735	218
463	2741	212
464	2745	206
465	2751	200
466	2758	194
467	2763	188
468	2769	183
469	2776	177
470	2782	171
471	2788	165
472	2793	159
473	2799	153
474	2803	147
475	2808	141
476	2814	135
477	2819	129
478	2825	123
479	2830	117
480	2836	112
481	2841	106
482	2847	100
483	2852	94
484	2857	88
485	2862	82
486	2868	76
487	2873	70
488	2879	64
489	2886	58
490	2891	53
491	2898	47
492	2903	41
493	2910	35
494	2917	29
495	2923	23
496	2928	17
497	2935	11
498	2943	5
499	2948	0
