iter	MultiClass
165	0.1669809065
166	0.1663383284
167	0.165877172
168	0.1652526603
169	0.1649146518
170	0.1645423794
171	0.1641616884
172	0.1637829674
173	0.1633494747
174	0.1628554351
175	0.1623842605
176	0.1620535257
177	0.161602438
178	0.1612083782
179	0.160776485
180	0.1603325869
181	0.1598622879
182	0.159257038
183	0.1587688578
184	0.1584345535
185	0.157986547
186	0.157661739
187	0.1573631802
188	0.1571820447
189	0.1569039433
190	0.1565256263
191	0.1561744174
192	0.1557451172
193	0.1552820919
194	0.154916908
195	0.1544224475
196	0.1540238416
197	0.153695161
198	0.153405425
199	0.1529595905
200	0.1525549064
201	0.1520495858
202	0.1516318191
203	0.1514031183
204	0.1508615638
205	0.1504574353
206	0.1502149953
207	0.1497431304
208	0.1492344423
209	0.1489235082
210	0.1485142443
211	0.1481603246
212	0.1477817551
213	0.1472999057
214	0.1470057078
215	0.1468680967
216	0.146363517
217	0.1460399044
218	0.1456685412
219	0.1453678105
220	0.1450057078
221	0.1445259294
222	0.1442309907
223	0.1439448916
224	0.1434272629
225	0.1432033944
226	0.1429788355
227	0.1427235655
228	0.1423113046
229	0.1420302734
230	0.1417843817
231	0.1414343178
232	0.1411181641
233	0.1409145508
234	0.1405156923
235	0.1401796791
236	0.1399736076
237	0.1395611783
238	0.1393294551
239	0.1389000202
240	0.1385951138
241	0.1381352539
242	0.1377250135
243	0.1374405391
244	0.1370374714
245	0.1368413254
246	0.1366769599
247	0.1364366918
248	0.1360446356
249	0.1359657698
250	0.1357845585
251	0.1354687753
252	0.1351832654
253	0.1350286907
254	0.1346971057
255	0.1343314335
256	0.1340071643
257	0.1335916706
258	0.1333054957
259	0.1330085533
260	0.1327908978
261	0.1325679048
262	0.1322211914
263	0.1319075212
264	0.1315546033
265	0.131341578
266	0.1310537362
267	0.1307301825
268	0.1304815211
269	0.130223919
270	0.1298298508
271	0.1296213968
272	0.1293773488
273	0.1291668575
274	0.128936313
275	0.128574505
276	0.1282030829
277	0.1278114813
278	0.1274998737
279	0.1272345518
280	0.1269826323
281	0.1266782732
282	0.126319538
283	0.1261994545
284	0.1260467908
285	0.1257973717
286	0.1254792228
287	0.1251177768
288	0.1248313662
289	0.1244703916
290	0.1242155257
291	0.123991152
292	0.1237128906
293	0.1233228633
294	0.1230067602
295	0.1227415056
296	0.1223827704
297	0.122137005
298	0.1219653236
299	0.1217504546
300	0.1214818157
301	0.1211072282
302	0.1208539618
303	0.1205974458
304	0.1204566019
305	0.1202831189
306	0.1200126532
307	0.1198530779
308	0.1195611951
309	0.1194075296
310	0.1191723717
311	0.1189599441
312	0.1187417245
313	0.1184932482
314	0.1182377256
315	0.1179606934
316	0.1176010658
317	0.1174175562
318	0.1171499023
319	0.1170083681
320	0.1168486076
321	0.1164909668
322	0.1161876852
323	0.1159488399
324	0.1156696862
325	0.1154678239
326	0.1153278724
327	0.1151339659
328	0.114960727
329	0.1146618737
330	0.1145211981
331	0.1143321659
332	0.1141536823
333	0.1138791841
334	0.1135617086
335	0.1134102068
336	0.1132694471
337	0.1131234089
338	0.1129373485
339	0.1127321777
340	0.1124784399
341	0.1123164399
342	0.1121788625
343	0.1118724407
344	0.1116686254
345	0.1113928559
346	0.1111959776
347	0.1108262645
348	0.1106171454
349	0.110353061
350	0.1102038827
351	0.1099508435
352	0.1097906452
353	0.1094800647
354	0.1091797296
355	0.1089668305
356	0.1086475367
357	0.1084639261
358	0.1083065312
359	0.1080772916
360	0.1078540881
361	0.107723094
362	0.1076327031
363	0.1074786503
364	0.1072222858
365	0.1070726781
366	0.1068814066
367	0.1066366346
368	0.1063743686
369	0.1060824353
370	0.1058244966
371	0.1055743114
372	0.105273227
373	0.1050367642
374	0.1047267393
375	0.1044384934
376	0.1042511786
377	0.1039174636
378	0.1036709489
379	0.1035271417
380	0.1033852539
381	0.1031120605
382	0.1028577755
383	0.1025957873
384	0.102421412
385	0.1021204203
386	0.1019359341
387	0.101712074
388	0.101566221
389	0.1013560917
390	0.101192366
391	0.1009029078
392	0.1008131567
393	0.1006413153
394	0.1003824505
395	0.1002728314
396	0.1001642056
397	0.1000399128
398	0.09978083749
399	0.0997420528
400	0.09953534988
401	0.09937793811
402	0.09918941103
403	0.09894387291
404	0.09874222959
405	0.09863690396
406	0.0984698781
407	0.09835243804
408	0.09819626381
409	0.0981240066
410	0.09787253334
411	0.0976464507
412	0.09749052061
413	0.09724238955
414	0.09707576778
415	0.09689869848
416	0.09669427701
417	0.09658549973
418	0.09627252829
419	0.09610751448
420	0.09592577283
421	0.0957650357
422	0.09553819538
423	0.09548427398
424	0.0953550394
425	0.09516246296
426	0.09499441844
427	0.09492230435
428	0.09475484072
429	0.09456156553
430	0.09444164197
431	0.09436436725
432	0.09416863382
433	0.09398019935
434	0.09387096747
435	0.09366064453
436	0.09339819336
437	0.09325468077
438	0.09305960399
439	0.09290965955
440	0.09275678543
441	0.09259243669
442	0.09239424502
443	0.09222851562
444	0.09206324084
445	0.09179999832
446	0.09155512527
447	0.09143803879
448	0.09125393992
449	0.09099708715
450	0.0908678189
451	0.09059392679
452	0.09046374091
453	0.09025342639
454	0.09006939487
455	0.08995943056
456	0.0897735722
457	0.08951446323
458	0.08945476664
459	0.0892806186
460	0.08916205886
461	0.08903571188
462	0.08881655779
463	0.08853019767
464	0.08840997946
465	0.08835708513
466	0.08824515086
467	0.08807644969
468	0.0878656974
469	0.08767361766
470	0.08745192113
471	0.08723608398
472	0.08707832705
473	0.08691402883
474	0.08678220973
475	0.08663345232
476	0.08647373384
477	0.0862697333
478	0.08608185446
479	0.08590766433
480	0.0857228583
481	0.08545789837
482	0.08536043575
483	0.0851852859
484	0.08498657227
485	0.08489852169
486	0.08479629411
487	0.08460342302
488	0.08449161503
489	0.08431005859
490	0.08421349677
491	0.08402267982
492	0.08382782193
493	0.08370353751
494	0.08357953091
495	0.08344765288
496	0.08329534281
497	0.08312132947
498	0.08291178105
499	0.08268487338
